name,position,team,minutes,salary,fpts,own%,stddev,fieldFpts
Anthony Davis,C,LAL,35,11100,51.64931614,4.8,18.29327856,49.8
Victor Wembanyama,C,SAS,0,11000,0.00E+00,0,0,0.00E+00
LeBron James,SF/PF,LAL,35,10100,47.16975943,22.8,15.23889999,48.8
Cade Cunningham,PG,DET,37,9700,5.17E+01,14.8,14.7527352,4.84E+01
Anthony Edwards,PG/SG,MIN,37,9600,46.05005886,12.5,12.27498103,44.3
LaMelo Ball,PG,CHA,35,9500,54.4584417,20.7,17.74703283,50.1
Paolo Banchero,C,ORL,0,9400,0,0,0,0
Franz Wagner,SF/PF,ORL,35,9100,75.97,30.2,24.328,45.6
RJ Barrett,SF/PF,TOR,35,8900,43.33476435,12.5,13.34072552,38.7
Scottie Barnes,PG,TOR,0,8700,0.00E+00,0,0,0.00E+00
Julius Randle,PF/C,MIN,34,8300,4.02E+01,15,12.45455425,4.10E+01
Jakob Poeltl,C,TOR,33,8100,41.0820879,8.2,13.52021503,40.1
Immanuel Quickley,PG,TOR,0,7400,0,0,0,0
John Collins,PF/C,UTA,32,7200,4.08E+01,42.6,14.29343877,3.94E+01
Austin Reaves,PG/SG,LAL,35,7200,33.45232987,5.1,9.030861024,34.4
Lauri Markkanen,SF/PF,UTA,32,7100,35.67484301,45.2,11.60267828,37.8
Brandon Miller,SG/SF,CHA,35,6900,38.78599453,36.9,10.42263164,38
Jalen Suggs,PG,ORL,33,6800,34.4541354,10.8,10.06481545,34.1
Jaden Ivey,PG/SG,DET,34,6700,35.53762051,13.5,10.33812096,34
Rudy Gobert,C,MIN,33,6600,33.84023886,18.4,10.08697163,34.1
Jeremy Sochan,C,SAS,0,6500,0.00E+00,0,0,0.00E+00
Jalen Duren,C,DET,28,6400,32.88005055,10.4,12.85673593,32.3
Miles Bridges,PF,CHA,0,6300,0,0,0,0
Chris Paul,PG,SAS,29,6300,3.27E+01,23.9,11.25880846,3.50E+01
Tobias Harris,PF,DET,34,6200,32.88895854,10.1,9.034220691,30.7
Gradey Dick,SG/SF,TOR,33,6200,27.7707907,0.2,7.772684169,25.1
Mark Williams,C,CHA,0,6100,0,0,0,0
Ochai Agbaji,SG/SF,TOR,33,6000,24.25189377,0,6.229227508,20.5
Walker Kessler,C,UTA,0,6000,0,0,0,0
Zach Collins,C,SAS,0,6000,0,0,0,0
Kelly Olynyk,C,TOR,0,5900,0,0,0,0
Keyonte George,PG,UTA,31,5800,30.61053578,10.4,9.78314865,29.6
Nick Richards,C,CHA,0,5700,0,0,0,0
Jordan Clarkson,SG,UTA,0,5600,0,0,0,0
Devin Vassell,SG,SAS,0,5500,0,0,0,0
Collin Sexton,PG/SG,UTA,29,5400,31.94486287,54.1,11.91828407,31.7
Naz Reid,PF/C,MIN,25,5300,27.13965947,14.8,11.29352991,27
Keldon Johnson,SF/PF,SAS,26,5300,27.23277465,24.5,10.84380946,27.2
Malik Beasley,SG/SF,DET,28,5200,24.0948122,5.7,8.123445258,23.6
Goga Bitadze,C,ORL,24,5200,26.25893626,0.9,11.27941579,24.6
Davion Mitchell,PG/SG,TOR,30,5100,22.41773595,1.3,6.752859652,23.1
Wendell Carter Jr.,C,ORL,18,5100,17.88251191,0.2,9.018176273,17.6
Rui Hachimura,SF/PF,LAL,29,5100,22.72145395,1.3,7.659977802,21.8
Dalton Knecht,SG/SF,LAL,27,5100,19.52430394,0.2,6.759188666,20.5
Grant Williams,PF/C,CHA,32,5000,28.62449821,20.7,8.1832244,25.6
Donte DiVincenzo,PG/SG,MIN,27,5000,25.60968361,4.2,9.130878911,23.1
Jaxson Hayes,PF/C,LAL,0,5000,0,0,0,0
Mike Conley,PG,MIN,0,4900,0,0,0,0
Bruce Brown,PG/SF,TOR,0,4900,0,0,0,0
Stephon Castle,SG,SAS,32,4900,30.12202725,32.5,8.854562895,28
Kyle Filipowski,PF/C,UTA,27,4800,24.23543172,9.5,8.787098209,25
Ausar Thompson,SF/PF,DET,0,4700,0,0,0,0
Jaden McDaniels,SF,MIN,30,4600,22.78030496,4.8,6.868683636,22.1
Julian Champagnie,SG/SF,SAS,29,4600,25.87912815,40.5,8.279908021,26.5
D'Angelo Russell,PG,LAL,24,4600,21.36750559,0.8,8.845338189,23
Isaiah Stewart,C,DET,20,4500,17.14054625,0.8,7.831252688,19
Chris Boucher,PF/C,TOR,21,4500,22.90319195,0.2,10.99158709,22.8
Moritz Wagner,C,ORL,17,4500,19.94977649,0.2,11.24199021,18.3
Tre Mann,PG/SG,CHA,25,4400,26.58920269,7.8,11.03337383,23.2
Harrison Barnes,SF/PF,SAS,28,4400,21.50710711,11.4,7.144377431,21.7
Anthony Black,PG/SG,ORL,30,4400,25.87233429,36.1,8.154053853,25.9
Jonathan Isaac,PF/C,ORL,21,4300,22.4199049,5.5,10.27327529,21.1
Kentavious Caldwell-Pope,SG,ORL,0,4200,0,0,0,0
Jarred Vanderbilt,C,LAL,0,4200,0,0,0,0
Nickeil Alexander-Walker,SG/SF,MIN,32,4100,24.00354671,2.1,6.413447572,25.7
Cam Reddish,SF/PF,LAL,19,4100,9.993882029,0,4.268089176,9.9
Tim Hardaway Jr.,SG/SF,DET,27,4000,19.23225621,10.8,6.456958354,17.4
Moussa Diabate,C,CHA,26,4000,25.2008318,0.6,9.683762234,22.3
Charles Bassey,C,SAS,20,4000,22.66444993,29.3,11.00667829,23.1
Christian Wood,C,LAL,0,4000,0,0,0,0
Tre Jones,PG,SAS,19,3900,18.85691389,1.5,9.113183249,17.9
Cody Martin,PG/SF,CHA,26,3800,21.99134626,8.7,8.005824083,21.6
Max Christie,SG/SF,LAL,7,3800,4.437836132,0,2.723231649,4.6
Ronald Holland II,SF,DET,14,3700,11.14634108,0,5.991637406,10.3
Tristan da Silva,PF,ORL,26,3700,19.22971482,5.7,6.78794394,17
Josh Green,SF/PF,CHA,26,3600,16.9913362,0.9,5.773123663,14.9
Jonathan Mogbo,PF/C,TOR,19,3600,15.96827345,0,7.54068674,17.6
Drew Eubanks,C,UTA,16,3600,14.63641049,0.4,7.683724763,13.7
Simone Fontecchio,PF,DET,18,3500,13.36671776,0,6.194693652,11.8
Isaiah Collier,PG,UTA,22,3500,16.05191197,2.7,6.539211592,15.7
Christian Koloko,C,LAL,12,3500,9.487341284,0,5.37226679,9
Marcus Sasser,PG,DET,0,3400,0,0,0,0
Bruno Fernando,C,TOR,0,3400,0,0,0,0
Sandro Mamukelashvili,PF/C,SAS,7,3400,7.492567547,0,4.981409875,8
Paul Reed,C,DET,0,3300,0,0,0,0
Garrett Temple,SG/SF,TOR,4,3300,2.65198874,0,1.709801925,4.3
Wendell Moore Jr.,PG/SG,DET,0,3200,0,0,0,0
Jamal Shead,PG,TOR,14,3200,11.18123042,0,6.023998634,9.8
Cody Williams,SF,UTA,17,3200,10.62023479,0,4.915311403,8.5
Tidjane Salaun,SF/PF,CHA,20,3100,11.7,0,0,11.7
Jamison Battle,SF/PF,TOR,15,3100,11.27842757,0,5.699522922,11.1
Brice Sensabaugh,SF/PF,UTA,12,3100,9.975472744,0,5.642473247,8.1
Gabe Vincent,PG/SG,LAL,17,3100,8.49860585,0,3.817118453,7.6
Gary Harris,SG/SF,ORL,16,3100,8.608241421,0,3.949543394,9.1
Jared Rhoden,SF,CHA,0,3000,0,0,0,0
Taj Gibson,C,CHA,0,3000,0,0,0,0
KJ Simpson,PG,CHA,0,3000,0,0,0,0
Vasilije Micic,PG,CHA,11,3000,9.826400744,0,5.784754482,7.4
Seth Curry,SG,CHA,4,3000,2.800105484,0,1.835835423,2.5
Nick Smith Jr.,SG,CHA,0,3000,0,0,0,0
DaQuan Jeffries,PF,CHA,0,3000,0,0,0,0
Cole Swider,C,DET,0,3000,0,0,0,0
Alondes Williams,SG,DET,0,3000,0,0,0,0
Daniss Jenkins,PG,DET,0,3000,0,0,0,0
Bobi Klintman,PF,DET,0,3000,0,0,0,0
Ulrich Chomche,PF/C,TOR,3,3000,2.364097099,0,1.63343105,2.1
D.J. Carton,PG,TOR,0,3000,0,0,0,0
Ja'Kobe Walter,SG,TOR,0,3000,0,0,0,0
Jesse Edwards,C,MIN,0,3000,0,0,0,0
Rob Dillingham,PG,MIN,0,3000,0,0,0,0
PJ Dozier,PF,MIN,2,3000,1.686942058,0,1.18929224,1.9
Josh Minott,SF,MIN,0,3000,0,0,0,0
Daishen Nix,PG,MIN,10,3000,8.012352018,0,4.684115896,10
Leonard Miller,PF/C,MIN,0,3000,0,0,0,0
Terrence Shannon Jr.,SG/SF,MIN,0,3000,0,0,0,0
Jaylen Clark,SG,MIN,0,3000,0,0,0,0
Luka Garza,C,MIN,0,3000,0,0,0,0
Joe Ingles,PF,MIN,10,3000,7.159574722,0,4.031489387,5.5
Riley Minix,PF,SAS,0,3000,0,0,0,0
Blake Wesley,PG,SAS,5,3000,4.22672073,0,2.841852257,3.4
Harrison Ingram,PF,SAS,0,3000,0,0,0,0
Sidy Cissoko,SG/SF,SAS,4,3000,3.369397059,0,2.297623192,3.9
David Duke Jr.,PG/SG,SAS,0,3000,0,0,0,0
Malaki Branham,SG/SF,SAS,14,3000,12.69764369,7.4,7.014791378,13.3
Svi Mykhailiuk,SG/SF,UTA,0,3000,0,0,0,0
Oscar Tshiebwe,C,UTA,0,3000,0,0,0,0
Patty Mills,PG,UTA,5,3000,3.190469342,0,1.99584933,2.8
Johnny Juzang,SG/SF,UTA,17,3000,11.46218482,0.6,5.376205367,11
Micah Potter,PF/C,UTA,0,3000,0,0,0,0
Jason Preston,PG/SG,UTA,0,3000,0,0,0,0
Taylor Hendricks,SF,UTA,0,3000,0,0,0,0
Quincy Olivari,PG,LAL,0,3000,0,0,0,0
Maxwell Lewis,PF,LAL,0,3000,0,0,0,0
Armel Traore,PF,LAL,0,3000,0,0,0,0
Bronny James,PG,LAL,0,3000,0,0,0,0
Jalen Hood-Schifino,PG,LAL,0,3000,0,0,0,0
Jett Howard,SF/PF,ORL,11,3000,9.04968824,0,5.108610499,8.9
Cole Anthony,PG/SG,ORL,5,3000,5.284843802,3,3.745190946,5.1
Caleb Houstan,SF/PF,ORL,4,3000,2.620992531,0,1.688988204,1.8
Cory Joseph,PG,ORL,0,3000,0,0,0,0
Trevelin Queen,PG,ORL,0,3000,0,0,0,0
Mac McClung,PG,ORL,0,3000,0,0,0,0
