Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,Expected,,,Actual 5/8,,,,,,,
4612697323,NBA $30K Sharpshooter [$5K to 1st],173228285,$3 ,Scottie Barnes (37356861),Cole Anthony (37356988),OG Anunoby (37357021),Kyle Filipowski (37357140),Drew Eubanks (37357151),Jalen Brunson (37356866),Precious Achiuwa (37357118),RJ Barrett (37356914),,,,Scottie Barnes (37356861),Cole Anthony (37356988) (LOCKED),OG Anunoby (37357021) (LOCKED),Kyle Filipowski (37357140),Drew Eubanks (37357151),Jalen Brunson (37356866) (LOCKED),Precious Achiuwa (37357118) (LOCKED),RJ Barrett (37356914)
4612697324,NBA $30K Sharpshooter [$5K to 1st],173228285,$3 ,Jalen Brunson (37356866),Duncan Robinson (37357237),Nickeil Alexander-Walker (37357290),Giannis Antetokounmpo (37356828),Wendell Carter Jr. (37357109),LaMelo Ball (37356835),Kyle Filipowski (37357140),Drew Eubanks (37357151),,,,Jalen Brunson (37356866) (LOCKED),Duncan Robinson (37357237),Nickeil Alexander-Walker (37357290) (LOCKED),Giannis Antetokounmpo (37356828),Wendell Carter Jr. (37357109) (LOCKED),LaMelo Ball (37356835),Kyle Filipowski (37357140),Drew Eubanks (37357151)
4612697325,NBA $30K Sharpshooter [$5K to 1st],173228285,$3 ,Mike Conley (37357230),Mikal Bridges (37357013),OG Anunoby (37357021),Kyle Filipowski (37357140),Mark Williams (37356970),Jalen Brunson (37356866),Bobby Portis (37357038),Jayson Tatum (37356843),,,,Keyonte George (37357010),Duncan Robinson (37357237),Brice Sensabaugh (37357075),Miles Bridges (37356938),Drew Eubanks (37357151),Shai Gilgeous-Alexander (37356838),Jalen Williams (37356911),Daniel Gafford (37357030)
4612697326,NBA $30K Sharpshooter [$5K to 1st],173228285,$3 ,Jrue Holiday (37357071),Isaiah Joe (37357276),Scottie Barnes (37356861),Jalen Williams (37356911),Wendell Carter Jr. (37357109),Jalen Brunson (37356866),Josh Hart (37356907),Drew Eubanks (37357151),,,,Keyonte George (37357010),Duncan Robinson (37357237),Cody Martin (37357171),Naz Reid (37357059) (LOCKED),Wendell Carter Jr. (37357109) (LOCKED),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Nikola Jokic (37356826)
4612697327,NBA $30K Sharpshooter [$5K to 1st],173228285,$3 ,Jalen Brunson (37356866),Mikal Bridges (37357013),Nickeil Alexander-Walker (37357290),Chris Boucher (37357215),Wendell Carter Jr. (37357109),Scottie Barnes (37356861),Giannis Antetokounmpo (37356828),Drew Eubanks (37357151),,,,Jalen Brunson (37356866) (LOCKED),Mikal Bridges (37357013) (LOCKED),Nickeil Alexander-Walker (37357290) (LOCKED),Chris Boucher (37357215),Wendell Carter Jr. (37357109) (LOCKED),Scottie Barnes (37356861),Giannis Antetokounmpo (37356828),Drew Eubanks (37357151)
4612697328,NBA $30K Sharpshooter [$5K to 1st],173228285,$3 ,Scottie Barnes (37356861),Nickeil Alexander-Walker (37357290),Mikal Bridges (37357013),Kyle Filipowski (37357140),Wendell Carter Jr. (37357109),Jalen Brunson (37356866),Jalen Williams (37356911),Mark Williams (37356970),,,,Scottie Barnes (37356861),Nickeil Alexander-Walker (37357290) (LOCKED),Mikal Bridges (37357013) (LOCKED),Kyle Filipowski (37357140),Wendell Carter Jr. (37357109) (LOCKED),Jalen Brunson (37356866) (LOCKED),Jalen Williams (37356911),Mark Williams (37356970)
4612697329,NBA $30K Sharpshooter [$5K to 1st],173228285,$3 ,Jalen Brunson (37356866),Khris Middleton (37357054),Jayson Tatum (37356843),Brice Sensabaugh (37357075),Drew Eubanks (37357151),Keyonte George (37357010),Miles Bridges (37356938),Wendell Carter Jr. (37357109),,,,Mike Conley (37357230) (LOCKED),Cody Martin (37357171),Jayson Tatum (37356843) (LOCKED),Miles Bridges (37356938),Drew Eubanks (37357151),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Mark Williams (37356970)
4612697330,NBA $30K Sharpshooter [$5K to 1st],173228285,$3 ,Jalen Brunson (37356866),Isaiah Joe (37357276),Josh Hart (37356907),Brice Sensabaugh (37357075),Wendell Carter Jr. (37357109),Mike Conley (37357230),Mikal Bridges (37357013),Giannis Antetokounmpo (37356828),,,,Jalen Brunson (37356866) (LOCKED),Isaiah Joe (37357276),Josh Hart (37356907) (LOCKED),Brice Sensabaugh (37357075),Wendell Carter Jr. (37357109) (LOCKED),Mike Conley (37357230) (LOCKED),Mikal Bridges (37357013) (LOCKED),Giannis Antetokounmpo (37356828)
,,,,,,,,,,,,,,,Original,,,,,,,
,,,,Scottie Barnes (37356861),Cole Anthony (37356988),OG Anunoby (37357021),Kyle Filipowski (37357140),Drew Eubanks (37357151),Jalen Brunson (37356866),Precious Achiuwa (37357118),RJ Barrett (37356914),,,,Mike Conley (37357230),Cole Anthony (37356988) (LOCKED),Cody Martin (37357171),Kyle Filipowski (37357140),Jakob Poeltl (37356992),Shai Gilgeous-Alexander (37356838),Chris Boucher (37357215),Nikola Jokic (37356826)
,,,,Jalen Brunson (37356866),Duncan Robinson (37357237),Nickeil Alexander-Walker (37357290),Giannis Antetokounmpo (37356828),Wendell Carter Jr. (37357109),LaMelo Ball (37356835),Kyle Filipowski (37357140),Drew Eubanks (37357151),,,,Mike Conley (37357230),Gradey Dick (37357126),Naji Marshall (37357067),Miles Bridges (37356938),Wendell Carter Jr. (37357109) (LOCKED),Shai Gilgeous-Alexander (37356838),Chris Boucher (37357215),Nikola Jokic (37356826)
,,,,Mike Conley (37357230),Mikal Bridges (37357013),OG Anunoby (37357021),Kyle Filipowski (37357140),Mark Williams (37356970),Jalen Brunson (37356866),Bobby Portis (37357038),Jayson Tatum (37356843),,,3,Keyonte George (37357010),Duncan Robinson (37357237),Brice Sensabaugh (37357075),Miles Bridges (37356938),Drew Eubanks (37357151),Shai Gilgeous-Alexander (37356838),Jalen Williams (37356911),Daniel Gafford (37357030)
,,,,Jrue Holiday (37357071),Isaiah Joe (37357276),Scottie Barnes (37356861),Jalen Williams (37356911),Wendell Carter Jr. (37357109),Jalen Brunson (37356866),Josh Hart (37356907),Drew Eubanks (37357151),,,4,Keyonte George (37357010),Duncan Robinson (37357237),Cody Martin (37357171),Naz Reid (37357059),Wendell Carter Jr. (37357109) (LOCKED),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Nikola Jokic (37356826)
,,,,Jalen Brunson (37356866),Mikal Bridges (37357013),Nickeil Alexander-Walker (37357290),Chris Boucher (37357215),Wendell Carter Jr. (37357109),Scottie Barnes (37356861),Giannis Antetokounmpo (37356828),Drew Eubanks (37357151),,,,Jalen Brunson (37356866),Isaiah Joe (37357276),Nickeil Alexander-Walker (37357290),Giannis Antetokounmpo (37356828),Wendell Carter Jr. (37357109) (LOCKED),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Drew Eubanks (37357151)
,,,,Scottie Barnes (37356861),Nickeil Alexander-Walker (37357290),Mikal Bridges (37357013),Kyle Filipowski (37357140),Wendell Carter Jr. (37357109),Jalen Brunson (37356866),Jalen Williams (37356911),Mark Williams (37356970),,,,Jalen Brunson (37356866),Cody Martin (37357171),Nickeil Alexander-Walker (37357290),Miles Bridges (37356938),Wendell Carter Jr. (37357109) (LOCKED),Keyonte George (37357010),Kyle Filipowski (37357140),Nikola Jokic (37356826)
,,,,Jalen Brunson (37356866),Khris Middleton (37357054),Jayson Tatum (37356843),Brice Sensabaugh (37357075),Drew Eubanks (37357151),Keyonte George (37357010),Miles Bridges (37356938),Wendell Carter Jr. (37357109),,,7,Mike Conley (37357230),Cody Martin (37357171),Jayson Tatum (37356843) (LOCKED),Miles Bridges (37356938),Drew Eubanks (37357151),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Mark Williams (37356970)
,,,,Jalen Brunson (37356866),Isaiah Joe (37357276),Josh Hart (37356907),Brice Sensabaugh (37357075),Wendell Carter Jr. (37357109),Mike Conley (37357230),Mikal Bridges (37357013),Giannis Antetokounmpo (37356828),,,,Mike Conley (37357230),Luguentz Dort (37357166),Scottie Barnes (37356861),Chris Boucher (37357215),Wendell Carter Jr. (37357109) (LOCKED),Keyonte George (37357010),Jalen Williams (37356911),Nikola Jokic (37356826)
,,,,,,,,,,,,,,,,,,,,,,
,,,Original,Mike Conley (37357230),Cole Anthony (37356988) (LOCKED),Cody Martin (37357171),Kyle Filipowski (37357140),Jakob Poeltl (37356992),Shai Gilgeous-Alexander (37356838),Chris Boucher (37357215),Nikola Jokic (37356826),,,,,3 4 7 werent changed,,,,,,
,,,,Mike Conley (37357230),Gradey Dick (37357126),Naji Marshall (37357067),Miles Bridges (37356938),Wendell Carter Jr. (37357109) (LOCKED),Shai Gilgeous-Alexander (37356838),Chris Boucher (37357215),Nikola Jokic (37356826),,,,,,,,,,,
,,,,Keyonte George (37357010),Duncan Robinson (37357237),Brice Sensabaugh (37357075),Miles Bridges (37356938),Drew Eubanks (37357151),Shai Gilgeous-Alexander (37356838),Jalen Williams (37356911),Daniel Gafford (37357030),,,,,,,,,,,
,,,,Keyonte George (37357010),Duncan Robinson (37357237),Cody Martin (37357171),Naz Reid (37357059),Wendell Carter Jr. (37357109) (LOCKED),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Nikola Jokic (37356826),,,,,,,,,,,
,,,,Jalen Brunson (37356866),Isaiah Joe (37357276),Nickeil Alexander-Walker (37357290),Giannis Antetokounmpo (37356828),Wendell Carter Jr. (37357109) (LOCKED),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Drew Eubanks (37357151),,,,,,,,,,,
,,,,Jalen Brunson (37356866),Cody Martin (37357171),Nickeil Alexander-Walker (37357290),Miles Bridges (37356938),Wendell Carter Jr. (37357109) (LOCKED),Keyonte George (37357010),Kyle Filipowski (37357140),Nikola Jokic (37356826),,,,,,,,,,,
,,,,Mike Conley (37357230),Cody Martin (37357171),Jayson Tatum (37356843) (LOCKED),Miles Bridges (37356938),Drew Eubanks (37357151),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Mark Williams (37356970),,,,,,,,,,,
,,,,Mike Conley (37357230),Luguentz Dort (37357166),Scottie Barnes (37356861),Chris Boucher (37357215),Wendell Carter Jr. (37357109) (LOCKED),Keyonte George (37357010),Jalen Williams (37356911),Nikola Jokic (37356826),,,,,,,,,,,
